Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
MRK,$129.12 ,"Raludotatug deruxtecan (DS-6000, R-DXd) - (REJOICE-Ovarian01)",Ovarian cancer ,Phase 2/3,04/03/2024,"Phase 2/3 trial portion 2 initiated, noted April 3, 2024.",
DSNKY,$31.22 ,"Raludotatug deruxtecan (DS-6000, R-DXd) - (REJOICE-Ovarian01)",Ovarian cancer ,Phase 2/3,04/03/2024,"Phase 2/3 trial portion 2 initiated, noted April 3, 2024.",
PRFX,$1.77 ,PRF-110,Bunionectomy ,Phase 3,04/03/2024,"Phase 3 enrollment target reached 50%, noted April 2, 2024.",1.0
NBTX,$6.13 ,NBTXR3 - (MD Anderson Study 2020-0123),Non-small cell lung cancer (NSCLC) ,Phase 1,04/03/2024,"Phase 1 dose escalation study completed, noted April 2, 2024.",47.0
SPRY,$9.40 ,Neffy (epinephrine nasal spray),Allergic reactions (type I) including anaphylaxis ,CRL,04/03/2024,The Company submitted its response to the U.S. Food and Drug Administration (FDA) for its New Drug Application (NDA) for neffy® (epinephrine nasal spray) for the treatment of Type I allergic reactions,98.0
MRNA,$101.21 ,mRNA-3927 (Paramount),Propionic Acidemia ,Phase 1/2,04/03/2024,"Phase 1/2 has been well tolerated in participants at the doses administered, with no dose-limiting toxicities observed. Fifteen participants reported treatment-emergent adverse events (TEAEs), while n",389.0
MGNX,$13.67 ,MGC018 - (TAMARACK),Metastatic castration-resistant prostate cancer (mCRPC) ,Phase 2,04/03/2024,"Phase 2 preliminary safety data suggested that reducing the dose and frequency of cobra duo improves its safety and tolerability in men with mCRPC, noted April 3, 2024.",63.0
ACHL,$0.90 ,ATL001 - (CHIRON),Non-Small Cell Lung Cancer (NSCLC) ,Phase 1/2,04/04/2024,"Phase 1/2 data reported that 25% of higher dose (>100M cNeT) patients demonstrated stable disease with some reduction in tumor volume, noted April 4, 2024.",41.0
ACHL,$0.90 ,ATL001 - (THETIS),Melanoma ,Phase 1/2,04/04/2024,"Phase 1/2a data reported that 3 of 12 patients demonstrated stable disease with some reduction in tumor volume, noted April 4, 2024.",41.0
CVAC,$2.96 ,Flu-SV-mRNA,Multivalent seasonal flu vaccine ,Phase 2,04/04/2024,"Phase 2 interim data reported that the vaccine boosted antibody titers against all encoded flu strains and across all age groups and tested dose levels, including the lowest tested dose, noted April 4",224.0
GSK,$40.15 ,Flu-SV-mRNA,Multivalent seasonal flu vaccine ,Phase 2,04/04/2024,"Phase 2 interim data reported that the vaccine boosted antibody titers against all encoded flu strains and across all age groups and tested dose levels, including the lowest tested dose, noted April 4",
ADCT,$4.71 ,ZYNLONTA (Loncastuximab Tesirine-Ipyl) - (LOTIS-7),B-cell non-Hodgkin lymphoma ,Phase 1b,04/04/2024,"Phase 1b dose escalation trial completed with no dose-limiting toxicities, no or low-grade cytokine release syndrome and no immune effector cell-associated neurotoxicity syndrome across all patients a",112.0
AMLX,$2.61 ,RELYVRIO (sodium phenylbutyrate and taurursodiol),Amyotrophic lateral sclerosis (ALS) ,Phase 3,04/04/2024,Company has started a process with the FDA and Health Canada to voluntarily discontinue the marketing authorizations for RELYVRIO/ALBRIOZA (sodium phenylbutyrate and taurursodiol [also known as ursodo,89.0
AMLX,$2.61 ,AMX0035 - (A35-004 PHOENIX),Amyotrophic Lateral Sclerosis (AML) ,Phase 3,04/04/2024,"Based on Phase 3 previous results, the company has started a process with the FDA and Health Canada to voluntarily discontinue the marketing authorizations for RELYVRIO/ALBRIOZA (sodium phenylbutyrate",89.0
CADL,$6.40 ,CAN-2409 plus valacyclovir (prodrug),"Non-Metastatic Pancreatic Cancer, Pancreatic ductal adenocarcinoma (PDAC) ",Phase 2,04/04/2024,"Phase 2 interim data reported that at 24 months, survival rate was 71.4% in CAN-2409 treated patients versus only 16.7% in the control group after chemoradiation, noted April 4, 2024.",54.0
EFTR,$2.96 ,Tomivosertib (MNK1/2) - (KICKSTART),Non-small cell lung cancer (NSCLC) ,Phase 2b,04/04/2024,"Phase 2b study did not meet the pre-specified threshold of p≤0.2. The median PFS was 13.0 weeks in the tomivosertib plus pembrolizumab arm and 11.7 weeks in the placebo plus pembrolizumab arm, respect",4.0
GOVX,$2.01 ,GEO-CM04S1- (COH04S1),COVID-19 in immunocompromised patients ,Preclinical,04/04/2024,"Preclinical data presented at the Annual World Vaccine showed that vaccine-induced immunity protects against infections, serious disease symptoms, and death against the original Wuhan variant as well",25.0
DTIL,$14.34 ,ECUR-506 - (OTC-HOPE),Ornithine Transcarbamylase (OTC) Deficiency ,IND-Enabling,04/04/2024,"IND Cleared by the FDA, noted April 4, 2024.",11.0
CRBU,$4.54 ,CB-010 - (GALLOP),"Lupus nephritis (LN), extrarenal lupus (ERL) ",IND-Enabling,04/04/2024,"IND Clearance by FDA, noted April 4, 2024. Phase 1 trial planned by year end 2024.",93.0
HCM,$16.36 ,HMPL-295,Solid tumors ,Preclinical,04/05/2024,Preclinical data from AACR reported that HMPL-295 significantly improved the anti-tumor activity of standard-of-care chemotherapy as well as targeted agents in KRAS- or BRAF-mutant tumor models both,174.0
HCM,$16.36 ,HMPL-506,Leukemia ,Preclinical,04/05/2024,Preclinical data from AACR reported that in In vivo studies demonstrated the dose- and exposure- dependent target regulation of MEIS1 and anti-tumor efficacy following HMPL-506 treatment in multiple t,174.0
HCM,$16.36 ,HMPL-A067 (HMA800067),B-cell malignancies ,Preclinical,04/05/2024,"Preclinical data reported that an intravenous injection of HMA800067 at 10 mg/kg single dose induced complete tumor regression in all the animals within 10 days of administration, noted April 5, 2024.",174.0
AZN,$67.04 ,IMFINZI (Durvalumab) - (ADRIATIC),Small cell lung cancer (SCLC) limited disease ,Phase 3,04/05/2024,"Phase 3 trial met the the dual primary endpoints of overall survival (OS) and progression-free survival (PFS), noted April 5, 2024.",
CYTK,$72.71 ,Aficamten - (FOREST-HCM) (OLE),Non-obstructive hypertrophic cardiomyopathy (HCM) ,Phase 3,04/05/2024,Phase 3 first cohort efficacy and safety datacompleting 1-year follow-up data from ACC.24 reported that treatment with aficamten for 48 weeks resulted in substantial and sustained reductions in averag,119.0
OCGN,$1.83 ,OCU410 - (ArMaDa),Geographic Atrophy (GA) ,Phase 1/2,04/05/2024,"Phase 1/2 Data and Safety Monitoring Board (DSMB) convened and approved to proceed dosing with the medium dose of OCU410 in the dose-escalation phase of the study, noted April 5, 2024.",292.0
IGXT,$0.19 ,Buprenorphine Buccal Film - (Belbuca Biosimilar),Pain ,CRL,04/05/2024,"In an Amendment Acknowledgement received from the FDA by the company, the FDA granted priority review with a Generic Drug User Fee Act (GDUFA) date for review of the Amendment of March 8, 2024, unless",174.0
TARA,$3.63 ,TARA-002 - (ADVANCED-1),Non-muscle invasive bladder cancer (NMIBC) ,Phase 1b,04/05/2024,"Phase 1b data reported a complete response rate of 43% at three months, noted April 5, 2024.",38.0
TSVT,$4.92 ,Abecma (idecabtagene vicleucel; ide-cel),Multiple Myeloma ,Approved,04/05/2024,"Approved April 5, 2024.",53.0
BMY,$50.56 ,Abecma (idecabtagene vicleucel; ide-cel),Multiple Myeloma ,Approved,04/05/2024,"Approved April 5, 2024.",
CDTX,$23.20 ,CCR5-001,Colorectal cancer ,Preclinical,04/05/2024,"Preclinical data shared at the AACR conference demonstrated potent efficacy in colorectal cancer mouse model, noted April 5 2024.",25.0
CDTX,$23.20 ,CBO421,Tumor immune evasion prevention ,Preclinical,04/05/2024,"Preclinical data shared at AACR data demonstrated improved efficacy compared to oleclumab in human triple-negative breast cancer cell lines, noted April 5, 2024.",25.0
HOWL,$5.92 ,WTX-518,Solid tumors ,Preclinical,04/05/2024,"Preclinical data presented at AACR reported complete tumor regression in the MC38 mouse tumor model, noted April 5, 2024.",45.0
HOWL,$5.92 ,WTX-712,Solid tumors ,Preclinical,04/05/2024,"Preclinical data presented at AACR reported that treatment demonstrated inducibility and antitumor activity with regressions in the MC38 mouse tumor model, noted April 5, 2024.",45.0
JNJ,$152.39 ,CARVYKTI (ciltacabtagene autoleucel) - (CARTITUDE-4),Multiple Myeloma ,Approved,04/05/2024,"FDA Approval on April 5, 2024.",
LEGN,$54.93 ,CARVYKTI (ciltacabtagene autoleucel) - (CARTITUDE-4),Multiple Myeloma ,Approved,04/05/2024,"FDA Approval on April 5, 2024.",183.0
AZN,$67.04 ,Trastuzumab deruxtecan - (DESTINY-CRC02),HER2-overexpressing/amplified (HER2+) metastatic colorectal cancer (mCRC) ,Phase 2,04/05/2024,"Phase 2 data showed a confirmed ORR of 51.4% and a median DoR range of 19.4 months, noted April 5, 2024.",
AMRN,$1.05 ,VASCEPA (icosapent ethyl) - (REDUCE-IT),Cardiovascular disease ,Phase 1,04/06/2024,Phase 1 data presented at the American College of Cardiology's Annual Scientific Session & Expo show that findings presented on VASCEPA/VAZKEPA utility in REDUCE-IT patient subgroups by baseline High/,20.0
XLO,$1.47 ,XTX501,Solid Tumors ,Preclinical,04/07/2024,"Preclinical data shared at AACR reported superior PK profile compared to non-masked PD1/IL2 in mice, akin to PD1 antibodies, projected to achieve >95% PD-1 RO with once every 3 weeks (Q3W) dosing, no",51.0
REPL,$7.12 ,RP1 (vusolimogene oderparepvec) - (ARTACUS),Liver and kidney transplant recipients with recurrent Cutaneous squamous cell carcinoma ,Phase 1/2,04/07/2024,"Phase 1/2 open-label data presented at AACR reported an overall response rate (ORR) of 34.8 percent (8 of 23 evaluable patients, including 5 complete responses and 3 partial responses) with most respo",78.0
ALNY,$156.04 ,Zilebesiran - (KARDIA-2),Hypertension ,Phase 2,04/07/2024,"Phase 2 full data shared at the American College of Cardiology Scientific Sessions reported that zilebesiran demonstrated clinically significant and sustained placebo-adjusted, time-adjusted reduction",131.0
ARWR,$25.70 ,Plozasiran (ARO-APOC3-2001) - (SHASTA-2),Hypertriglyceridemia ,Phase 2,04/07/2024,"Phase 2 clinical data presented at ACC.24 reported a dose-dependent placebo-adjusted reductions in triglycerides, with Significant and durable triglyceride and APOC3 reductions to week 48, noted April",138.0
BNTX,$89.31 ,Cevumeran (BNT122),Resected pancreatic ductal adenocarcinoma (PDAC) ,Phase 1,04/07/2024,"Phase 1 data presented at AACR reported that in 8 of 16 patients, autogene cevumeran elicited high-magnitude T cells specific to the encoded neoantigens. 98% of the T cells targeting individual neoant",239.0
IONS,$42.24 ,TRYNGOLZA (olezarsen),Familial Chylomicronemia Syndrome (FCS) ,Phase 3,04/07/2024,"Phase 3 trial met her primary endpoint, noted April 7, 2024.",159.0
ITOS,$12.22 ,EOS-984 - (APT-008),Adenosine on T and B cells ,Preclinical,04/07/2024,"Preclinical data presented at AACR reported a blockade of intracellular adenosine accumulation by EOS-984 enabled proliferation of memory T cells and TILs despite high adenosine concentrations, result",44.0
INO,$11.34 ,GT-30,Cancer Vaccine in advanced hepatocellular carcinoma ,Phase 1/2,04/07/2024,"Phase 1/2 trial has met primary endpoints of safety and immunogenicity and secondary endpoint for efficacy based on response rate, noted April 7, 2024.",53.0
EWTX,$16.88 ,EDG-7500 - (CIRRUS-HCM),Hypertrophic Cardiomyopathy (HCM) ,Preclinical,04/07/2024,Preclinical data presented at ACC blunted the HCM-mediated progressive slowing of LV diastolic relaxation; additionally the candidate preserved myocardial distensibility and maintained cardiac reserve,105.0
SNDX,$22.81 ,Revuforj (revumenib) - (AUGMENT-101),Relapsed/refractory (R/R) acute leukemias ,Phase 2,04/08/2024,"Phase 2 data reported a complete remission (CR) or CR with partial hematological recovery (CRh) rate was 23%, and the overall response rate was 46%, noted April 8, 2024.",86.0
ZYME,$9.62 ,ZW191,"Non-small cell lung cancer, endometrial cancer, and triple-negative breast cancer ",Preclinical,04/08/2024,"Preclinical data reported superior internalization, payload delivery, and spheroid penetration to other FRα-targeted multi-specific antibodies, noted April 8, 2024.",75.0
BMRN,—,BMN 401 (INZ-701) - (adults trial),ENPP1 deficiency ,Phase 1/2,04/08/2024,"Phase 2 topline data showed avorable safety, immunogenicity and clinical outcome data were maintained through 48 weeks in Cohorts 1-3 in ENPP1 Deficiency; Data from Cohort 4 support once weekly dosing",192.0
MIST,$1.82 ,Etripamil - (NODE-303),Paroxysmal supraventricular tachycardia (PSVT) ,Phase 3,04/08/2024,Phase 3 data shared at ACC24 demonstrated that symptom-prompted treatment with etripamil was effective at restoring sinus rhythm as compared to placebo with a median time-to-conversion of 17.0 minutes,84.0
PSTX,$2.97 ,P-BCMA-ALLO1,Multiple myeloma ,Phase 1,04/08/2024,Phase 1 clinical early update presented at AACR suggests patients with relapsed/refractory multiple myeloma who progressed after prior BCMA-targeted therapy achieved clinical responses with P-BCMA-AL,97.0
KANT,—,KVA12123 with KEYTRUDA (pembrolizumab) - (VISTA-101),Solid tumors ,Phase 1/2,04/08/2024,"Phase 1/2 data presented at AACR showed a partial response and stable disease reported in combination cohort, and durable stable disease observed in monotherapy cohorts, noted April 8, 2024.",13.0
VINC,$4.78 ,VIP236,Solid tumors ,Phase 1,04/08/2024,"Phase 1 initial data presented at AACR demonstrated positive signs of clinical activity, including tumor reduction, and an improved safety profile in heavily pretreated patients with metastatic solid",5.0
CRDF,$5.88 ,"Onvansertib, FOLFIRI and AVASTIN (bevacizumab) - (ONSEMBLE)",KRAS-Mutated Colorectal Cancer ,Phase 1/2,04/08/2024,Phase 1/2 data presented at AACR showed enhanced clinical efficacy signal in bev naïve patients is consistent with results of randomized ONSEMBLE trial providing two independent data sets in second-li,66.0
NUVL,$68.44 ,Zidesamtinib - (NVL-330) - (HEROEX-1),HER2-mutant tumors ,Preclinical,04/08/2024,"Preclinical data presented at AACR continue to support NVL-330's broad activity against HER2 oncogenic alterations, selectivity over wild-type EGFR, and differentiated brain-penetrant profile , Zidesa",72.0
MRUS,$44.01 ,Zenocutuzumab (Zeno) in combination with Trastuzumab and Vinorelbine,Metastatic breast cancer ,Preclinical,04/08/2024,"Phase 2 data presented at AACR data show that Zeno is effective in tumor cell killing in vitro and in vivo in high NRG1 expressing cancer models representing multiple different tumor types, April 8, 2",75.0
GMAB,—,Zenocutuzumab (Zeno) in combination with Trastuzumab and Vinorelbine,Metastatic breast cancer ,Preclinical,04/08/2024,"Phase 2 data presented at AACR data show that Zeno is effective in tumor cell killing in vitro and in vivo in high NRG1 expressing cancer models representing multiple different tumor types, April 8, 2",661.0
INKT,$1.32 ,FAP-CAR-IL-15 iNKT (MiNK-215),Non-small cell lung cancer (NSCLC) ,Preclinical,04/08/2024,Preclinical data shared at AACR exhibits potent anti-tumor activity through multiple mechanisms including immune activation and eliminated MSS colorectal cancer liver metastases in human organoid mode,4.0
CADL,$6.43 ,Alpha 201-macro-1 (enLIGHTEN Discovery Platform),"Solid tumors, breast cancer ",Preclinical,04/08/2024,"Preclinical data shared at AACR reported that treatment was shown to induce tertiary lymphoid structure formation, inhibit tumor growth, and improve response to immune checkpoint inhibitor therapy in",54.0
COGT,$6.52 ,CGT4255 - (ErbB2),Solid tumors ,Preclinical,04/08/2024,Preclinical data presented at AACR showed that data further demonstrate Cogent's capability to discover and advance potential best-in-class novel therapies for rare disease populations with high unmet,139.0
AGEN,$9.31 ,BMS-986442 (AGEN1777),Solid tumors ,Preclinical,04/08/2024,"Preclinical data presented at AACR reported that treatment demonstrated superior immune activation as monotherapy and in combination with PD-(L)1 blockade compared to conventional anti-TIGIT mAb, note",31.0
ADCT,$5.09 ,ADCT-601 (mipasetamab uzoptirine),"Soft tissue sarcomas, pancreatic cancer and AXL-expressing non-small cell lung cancer (NSCLC) ",Phase 1b,04/08/2024,"Phase 1b additional data presented at AACR reported that due to the incidence of TEAE judged related to Mipa and the preliminary activity observed, 15mg was selected as the highest dose to be tested i",112.0
ALXO,$12.14 ,ALX148 and Vidaza (azacitidine) - (ASPEN-02),Myelodysplastic syndromes (MDS) ,Phase 1,04/08/2024,"Phase 1 data presented at AACR reported that the combination results in high CR rates in patients with relapsed refractory iNHL, noted April 8, 2024.",53.0
PYXS,$5.58 ,PYX-106,Solid Tumors ,Preclinical,04/08/2024,Additional preclinical data shared at AACR reported that Siglec-15 and PD-L1 mRNA expression are not broadly mutually exclusive across cancer indications and instead expression of each gene varies bro,62.0
ELTX,$8.66 ,ELI-002 (AMPLIFY-201),Solid Tumors ,Phase 1,04/08/2024,Phase 1 trial data presented at AACR reported that a majority of patients who received ELI-002 booster immunizations maintained or increased mKRAS-specific T cell responses relative to baseline. Durab,16.0
RIGL,$12.60 ,REZLIDHIA (olutasidenib) - (CONNECT),High-grade glioma (HGG) harboring an isocitrate dehydrogenase-1 (IDH1) mutation ,Phase 2,04/08/2024,"Phase 2 showed induced durable composite complete remission in 43.8% of patients relapsed or refractory to prior venetoclax-based regimens, noted April 8, 2024.",17.0
PTN,$2.02 ,PL9643 - (MELODY-1),Dry eye disease (DED) ,Phase 3,04/08/2024,Phase 3 results presented at the ASCRS Conference 2024 included co-Primary symptom endpoint of pain met statistical significance and 7 of 11 secondary symptom endpoints met statistical significance (p,46.0
SUPN,$31.43 ,ONAPGO (apomorphine hydrochloride) injection (SPN-830),Motor fluctuations in Parkinson’s disease (PD) ,CRL,04/08/2024,"CRL announced April 8, 2024.",56.0
ORIC,$10.75 ,ORIC-944,Metastatic castration resistant prostate cancer (mCRPC) ,Preclinical,04/08/2024,"Preclinical data demonstrated that EED and EZH2 inhibitors act through the same mechanism of action, making prostate cancer cells more susceptible to AR inhibition, noted April 8, 2024.",97.0
PFE,$25.84 ,DOVATO (Dolutegravir and lamivudine) - (DANCE),HIV-1 infection in adolescents 12 years + and weighing at least 25 kg with no antiretroviral (ARV) treatment history ,Approved,04/08/2024,"FDA Approved on April 8, 2024.",
ENTX,$1.95 ,EB613,Osteoporosis ,Phase 2,04/08/2024,"Phase 2 publication in the Journal of Bone Mineral Research showed that despite the superior benefits of bone building (anabolic) agents and guidelines supporting their use, these medications are used",45.0
CHRS,$2.51 ,CHS-1000,Solid Tumors ,Preclinical,04/08/2024,"Preclinical studies showed a high affinity for human ILT4, reverses ILT4-mediated immunosuppressive functions, leading to activation of immune cells and increased cytokine secretion, noted April 8, 20",116.0
NVCT,$7.81 ,NXP900,Non-small cell lung cancer (NSCLC) ,Phase 1,04/08/2024,"Phase 1 data presented at AACR demonstrated that the combination reverses resistance to osimertinib versus osimertinib alone, noted April 8, 2024.",25.0
CCCC,$7.66 ,CFT1946,Solid tumors ,Preclinical,04/08/2024,"Preclinical data reported that a CFT1946 as a single agent and in combination with cetuximab demonstrates superior activity to the standard of care combination, BRAFi with cetuximab, in all CRC models",71.0
CORT,$24.23 ,Relacorilant plus ABRAXANE (nab-paclitaxel) - (ROSELLA),Ovarian cancer ,Phase 3,04/08/2024,"Phase 3 enrollment completed, noted April 8, 2024.",105.0
INMB,$10.36 ,INB03,MUC4 expressing cancer ,Phase 1,04/08/2024,Trial data reported that the increase in T cell infiltrate did not occur unless both anti-HER2 and INB03 immunotherapy were used in combination. Decreases in T cell and macrophage immune checkpoint p,26.0
BMRN,—,BMN 401 (INZ-701),ABCC6 deficiency ,Phase 1/2,04/08/2024,"Phase 1/2 topline data reported a reduction or stabilization of cIMT was observed across all dose cohorts, and increased choroidal thickness was observed across all dose cohorts, noted April 8, 2024.",192.0
MRKR,$4.71 ,Neldaleucel (MT-601) - (APOLLO),Lymphoma who have failed or are ineligible to receive anti-CD19 CAR T cell treatment ,Phase 1,04/08/2024,"Phase 1 data reported that the initial dose level was well tolerated and demonstrated durable objective responses after MT-601 treatment, noted April 8, 2024.",12.0
NVS,$95.48 ,Leqvio - (V-INITIATE),Low-density lipoprotein cholesterol (LDL-C) in patients with atherosclerotic cardiovascular disease (ASCVD) ,Phase 3,04/08/2024,"Phase 3b data reported significant reductions in LDL-C compared to those receiving usual care (60% vs. 7%), noted April 8, 2024.",
NXTC,$2.05 ,LNCB74,B7-H4 expressing cancers ,Preclinical,04/08/2024,"Preclinical data reported durable tumor regression in multiple CDX and PDX tumor models, suggesting activity comparable or superior to competitor B7-H4 targeting ADCs, noted April 8, 2024.",2.0
OCS,$10.76 ,OCS-01 - (OPTIMIZE-2),Inflammation and pain following ocular surgery ,Phase 3,04/08/2024,"Phase 3 trial data reported that 57.2% of patients treated with OCS-01 were inflammation free (i.e. absence of anterior chamber cells) at Day 15, and 75.5% had absence of ocular pain at Day 4, noted A",43.0
CVKD,$6.13 ,tecarfarin - (ARIES-HM3),Thromboembolism and thrombosis ,Phase 2,04/09/2024,"FDA granted orphan drug designation, noted April 9, 2024.",2.0
ATOS,$1.84 ,(Z)-endoxifen with abemaciclib (VERZENIO) - (EVANGELINE),Pre-menopausal women w/ early-stage estrogen receptor positive and Human Epidermal Growth Factor Receptor 2 negative breast cancer ,Phase 2,04/09/2024,"Phase 2 data shared at AACR showed that a Among the six patients who were treated for a total of 24-weeks, magnetic resonance imaging (MRI) central review demonstrated target lesion decreases in all",129.0
LLY,$754.94 ,(Z)-endoxifen with abemaciclib (VERZENIO) - (EVANGELINE),Pre-menopausal women w/ early-stage estrogen receptor positive and Human Epidermal Growth Factor Receptor 2 negative breast cancer ,Phase 2,04/09/2024,"Phase 2 data shared at AACR showed that a Among the six patients who were treated for a total of 24-weeks, magnetic resonance imaging (MRI) central review demonstrated target lesion decreases in all",946.0
IMRX,$2.19 ,Atebimetinib (IMM-1-104) + mGnP,"Solid tumors, pancreatic cancer, melanoma ",Preclinical,04/09/2024,Preclinical data presented at AACR demonstrated that combining IMM-1-104 with chemotherapies used in the treatment of first-line pancreatic cancer yielded deeper and more durable tumor growth inhibiti,36.0
CMPX,$1.67 ,CTX-009 in combination with paclitaxel,Biliary Tract Cancer (cholangiocarcinoma) ,Preclinical,04/09/2024,Preclinical data presented at AACR suggest that the combination of CTX-009 and CTX-471 could re-establish anti-tumor immunity in patients whose tumors have either downregulated or lost MHC-I expressio,138.0
MTEM,$1.85 ,MT-6402,Solid tumors ,Phase 1,04/09/2024,"Phase 1 interim data presented at AACR showed that drug has been well tolerated with no drug-related Grade 4 or Grade 5 adverse events observed, noted April 9, 2024.",6.0
NRIX,$17.48 ,NX-5948,B-cell malignancies / graft-versus-host disease ,Phase 1a,04/09/2024,Additional data with higher dose levels and longer treatment duration were reported at AACR; The company presented new case studies demonstrating clinical responses in two patients with B cell maligna,76.0
IOBT,$1.61 ,IO102-IO103 - (IOB-032),Squamous cell carcinoma of the head and neck (SCCHN) ,Phase 1/2,04/09/2024,"Phase 1/2 early data presented at AACR demonstrated the mechanism. Based on these results the company hopes to confirm its ongoing Phase 3 pivotal study, noted April 9, 2024.",65.0
RAPT,$8.44 ,tivumecirnon (FLX475) in combination with pembrolizumab,Advanced Cancer ,Phase 2,04/09/2024,"Phase 2 data shared at AACR confirmed an objective response rate (ORR) of 15.6% in all patients regardless of PD-L1 or HPV status, noted April 9, 2024.",16.0
FHTX,$7.48 ,FHD-909 (LY4050784),Non-small cell lung cancer (NSCLC) ,Preclinical,04/09/2024,"Preclinical data presented at AACR demonstrated favorable tolerability and dose-dependent single agent activity in BRG1 mutated cancers preclinically, noted April 9, 2024.",56.0
LLY,$754.94 ,FHD-909 (LY4050784),Non-small cell lung cancer (NSCLC) ,Preclinical,04/09/2024,"Preclinical data presented at AACR demonstrated favorable tolerability and dose-dependent single agent activity in BRG1 mutated cancers preclinically, noted April 9, 2024.",946.0
INAB,$1.09 ,INB-300,Solid Tumors ,Preclinical,04/09/2024,"Preclinical data presented at AACR supports potential for proprietary nsCAR platform to selectively eliminate cancer cells while preserving healthy tissue, noted April 9, 2024.",4.0
TPST,$3.87 ,TPST-1120,renal cell carcinoma (RCC) ,Preclinical,04/09/2024,"Preclinical data shared at AACR showed that TPST-1120 increases infiltrating cytotoxic CD8+ T cells in the tumor microenvironment, consistent with modulation of the tumor microenvironment to a more im",4.0
AZN,$67.99 ,FPI-2265 - (AlphaBreak),Prostate cancer ,Phase 2,04/09/2024,"Phase 2 preliminary data presented at AACR demonstrate that FPI-2265 is active in heavily pretreated patients with progressive metastatic castration-resistant prostate cancer (mCRPC), including those",
PRLD,$4.99 ,PRT7732,lymphoid malignancies ,Preclinical,04/09/2024,"Preclinical data shared at AACR shows robust anti-tumor activity in vivo as monotherapy and in combination with chemotherapy, at well-tolerated doses, noted April 9, 2024.",56.0
PRLD,$4.99 ,PRT2527,Solid tumors and hematological malignancies ,Preclinical,04/09/2024,"Additional preclinical data shared at the AACR provides improved depth and duration of response in combination with BTK/BCL2 inhibition, noted April 9, 2024.",56.0
PRLD,$4.99 ,PRT3645,Cancer ,Preclinical,04/09/2024,"Preclinical data at AACR showed that drug is highly effective in combination with other targeted therapies in preclinical models of breast cancer, CRC and NSCLC, noted April 9, 2024.",56.0
CRVS,$1.63 ,Soquelitinib - (CPI-818),Peripheral T-cell lymphoma (PTCL) ,Phase 3,04/09/2024,"Phase 3 dosing initiated, noted April 9, 2024.",74.0
MCRB,$0.71 ,SER-155,"Gastrointestinal infections, bacteremia and graft versus host disease (GvHD) ",Phase 1b,04/09/2024,"Phase 1b cohort 2 patient enrollment completed, noted April 9, 2024.",8.0
QLGN,$0.40 ,QN-302,"Pancreatic cancer, Prostate cancer and other solid tumors ",Phase 1,04/09/2024,"Phase 1 results demonstrated that for the first five patients (three of whom were PDAC patients), QN-302 is overall well-tolerated (no SAE) and they have reported a ""good"" quality of life during the d",1.0
BCTX,$2.85 ,SV-BR-1-GM,Metastatic breast cancer ,Phase 2,04/09/2024,"Phase 2 efficacy and safety data shared at AACR shows that Bria-IMT provides prolonged progression-free survival and clinical benefits in heavily pre-treated, ADC resistant breast cancer patients comp",1.0
BCTX,$2.85 ,Bria-IMT - (BRIA-ABC),Advanced breast cancer ,Phase 2,04/09/2024,Phase 2 data shared at AACR showed that Bria-IMT's tumor reductions observed in all breast cancer subtypes in patients with intracranial disease underlines its potential clinical effectiveness in mana,1.0
IPHA,$2.60 ,IPH45,Nectin-4 expressing tumors ,Preclinical,04/09/2024,"Preclinical data presented at AACR reported that treatment effectively inhibits Nectin-4 expressing tumor growth both in vitro and in vivo, including in Enfortumab Vedotin (EV) refractory models, note",92.0
ALXO,$12.34 ,ALX148 (evorpacept) + rituximab and lenalidomide,Non-Hodgkin lymphoma (NHL) ,Phase 1,04/09/2024,"Phase 1 trial data presented at AACR reported that the best ORR of 94% and a CRR of 83%, noted April 9, 2024.",53.0
GNPX,$3.07 ,REQORSA (GPX-001) with KEYTRUDA (pembrolizumab) - (Acclaim-2),Non-Small Cell Lung Cancer (NSCLC) ,Preclinical,04/09/2024,"Preclinical data presented at AACR reported that the NPRL2 treatment by itself led to a marked decrease in the size of lung metastases but pembrolizumab had no effect, noted April 9, 2024.",
CGEN,$2.36 ,COM503,Solid tumors ,Preclinical,04/09/2024,"Preclinical data shared at AACR found that COM503's activity is localized to the tumor microenvironment with the additional advantage of a wider therapeutic window than systemic IL-18 delivery, noted",93.0
GILD,$69.12 ,COM503,Solid tumors ,Preclinical,04/09/2024,"Preclinical data shared at AACR found that COM503's activity is localized to the tumor microenvironment with the additional advantage of a wider therapeutic window than systemic IL-18 delivery, noted",
NTBL,$1.41 ,Volasertib,Relapsed/refractory acute myeloid leukemia ,Preclinical,04/09/2024,"Preclinical data presented at AACR suggest a strong correlation between volasertib resistant fractions treated with 31.6 and 100 nM of volasertib and AUCs, which could represent a suitable metric to s",9.0
PFE,$26.03 ,ABRYSVO - (MONeT),Respiratory syncytial virus (RSV)-associated lower respiratory tract disease (LRTD) ,Phase 3,04/09/2024,"Phase 3 trial met its primary endpoint, noted April 9, 2024.",
BGNE,$154.02 ,Tislelizumab (anti-PD1) plus ociperlimab (anti-TIGIT) - (AdvanTIG-204),Small cell lung cancer (SCLC) ,Phase 2,04/09/2024,"Phase 2 data presented at AACR reported that in patients with untreated limited-stage SCLC, tislelizumab + cCRT yielded a trend of improvement in PFS and ORR vs cCRT; addition of ociperlimab did not s",106.0
