Ticker,Company,Price,Drug,Indication,Stage,Date,Catalyst,Shares
Add to portfolio,,,RMAT,,,,,
,,,RPDD,,,,,
,,,FTD,,,,,
,,,ODD,,,,,
ATHA,Athira Pharma Inc.,$2.83 ,Fosgonimeton (ATH-1017) - (LIFT-AD),Alzheimer’s disease ,Phase 2/3,03/09/2024 ET,"Phase 2/3 topline data did not meet primary endpoint of GST and key secondary endpoints of cognition (ADAS-Cog11) and function (ADCS-ADL23), noted September 3, 2024.",3.94M
Add to portfolio,,,View Clinical Trial Data,,,,,
RNAC,Cartesian Therapeutics Inc.,$13.12 ,Descartes-15,Solid tumors ,Phase 1,03/09/2024 ET,"Preclinical data observed to achieve an approximately ten-fold increase relative to Descartes-08 in CAR expression and selective target-specific killing. Phase 1 data to dosing initiated, noted Septem … read more",26M
Add to portfolio,,,,,,,,
INDV,Indivior PLC,$12.14 ,AEF0117,Cannabis-Related Disorders (CrD) ,Phase 2b,04/09/2024 ET,"Phase 2b trial did not meet its primary or secondary endpoints, noted September 4, 2024.",124.77M
Add to portfolio,,,,,,,,
BIIB,Biogen Inc.,$204.95 ,SPINRAZA (Nusinersen) - (DEVOTE),Spinal muscular atrophy (SMA) ,Phase 2/3,04/09/2024 ET,"Phase 2/3 data reported statistically significant improvement compared to a prespecified matched sham control group, noted September 4, 2024.",146.61M
Add to portfolio,,,View Clinical Trial Data,,,,,
IONS,Ionis Pharmaceuticals Inc.,$47.65 ,SPINRAZA (Nusinersen) - (DEVOTE),Spinal muscular atrophy (SMA) ,Phase 2/3,04/09/2024 ET,"Phase 2/3 data reported statistically significant improvement compared to a prespecified matched sham control group, noted September 4, 2024.",159.39M
Add to portfolio,,,View Clinical Trial Data,,,,,
WINT,Windtree Therapeutics Inc.,$3.32 ,Istaroxime - (SEISMiC C),Cardiogenic Shock in severe acute heart failure ,Phase 2b,04/09/2024 ET,"Phase 2 extension study in SCAI Stage B enrollment to be completed, noted September 4, 2024.",29.33M
Add to portfolio,,,View Clinical Trial Data,,,,,
PHRRF,PharmaTher Holdings Ltd,$0.16 ,KETARX (ketamine),Surgical pain management ,PDUFA,04/09/2024 ET,"FDA communicated with the Company that the review is ongoing and no additional information is needed, but is subject to change, noted September 4, 2024.",91.02M
Add to portfolio,,,FTD,,,,,
IVVD,Invivyd Inc.,$0.85 ,VYD2311 - (DECLARATION),COVID-19 ,Phase 1,04/09/2024 ET,"Phase 1 initiated, noted September 4, 2024.",120.14M
Add to portfolio,,,,,,,,
ALXO,ALX Oncology Holdings Inc.,$2.06 ,evorpacept in combination with SARCLISA (isatuximab-irfc) - (UMBRELLA),Multiple myeloma (MM) ,Phase 1/2,04/09/2024 ET,"Phase 1/2 initiated, noted September 4, 2024.",53.55M
Add to portfolio,,,,,,,,
SNY,Sanofi,$58.53 ,evorpacept in combination with SARCLISA (isatuximab-irfc) - (UMBRELLA),Multiple myeloma (MM) ,Phase 1/2,04/09/2024 ET,"Phase 1/2 initiated, noted September 4, 2024.",2.46B
Add to portfolio,,,,,,,,
ELDN,Eledon Pharmaceuticals Inc.,$2.58 ,Tegoprubart (AT-1501) - (BESTOW),Kidney transplant rejection ,Phase 2,04/09/2024 ET,"Phase 2 study enrollment completed, noted September 4, 2024.",59.88M
Add to portfolio,,,,,,,,
CYTH,Cyclo Therapeutics Inc.,$0.68 ,Trappsol Cyclo - (TransportNPC),Niemann-Pick Disease Type C ,Phase 3,05/09/2024 ET,"Phase 3 data to be presented at the SSIEM Annual Symposium 2024 showed that study was well tolerated, noted September 5, 2024.",28.77M
Add to portfolio,,,ODD,,,,,
,,,View Clinical Trial Data,,,,,
RFL,Rafael Holdings Inc. Class B,—,Trappsol Cyclo - (TransportNPC),Niemann-Pick Disease Type C ,Phase 3,05/09/2024 ET,"Phase 3 data to be presented at the SSIEM Annual Symposium 2024 showed that study was well tolerated, noted September 5, 2024.",35.09M
Add to portfolio,,,ODD,,,,,
,,,View Clinical Trial Data,,,,,
ARQT,Arcutis Biotherapeutics Inc.,$10.83 ,ARQ-255,Alopecia Areata ,Phase 1b,05/09/2024 ET,"Phase 1b enrollment completed, noted September 5, 2024.",122.49M
Add to portfolio,,,,,,,,
CATX,Isoray. (DE),$15.44 ,212Pb-VMT01,MC1R-positive metastatic melanoma ,Phase 1/2,05/09/2024 ET,"Phase 1/2 FDA granted Fast Track designation, noted September 5, 2024",74.26M
Add to portfolio,,,FTD,,,,,
LLY,Eli Lilly and Company,$911.16 ,Insulin efsitora alfa (efsitora) - (QWINT-1),Type 2 diabetes ,Phase 3,05/09/2024 ET,"Phase 3 topline data reported that the trial met its primary endpoint of non-inferior A1C reduction with efsitora compared to insulin glargine at week 52, noted September 5, 2024.",946.46M
Add to portfolio,,,,,,,,
LLY,Eli Lilly and Company,$911.16 ,Insulin efsitora alfa (efsitora) - (QWINT-3),Type 2 diabetes ,Phase 3,05/09/2024 ET,"Phase 3 topline data reported that the trial met its primary endpoint of non-inferior A1C reduction with efsitora compared to insulin degludec at week 26, noted September 5, 2024.",946.46M
Add to portfolio,,,,,,,,
LSTA,Lisata Therapeutics Inc.,$3.27 ,Certepetide (LSTA1) - (BOLSTER),Intrahepatic Cholangiocarcinoma ,Phase 2a,05/09/2024 ET,"FDA granted orphan drug designation, noted September 5, 2024.",8.76M
Add to portfolio,,,ODD,,,,,
HOTH,Hoth Therapeutics Inc.,$1.26 ,HT-001 - (CLEER-001),EGFRI-induced skin toxicity ,Phase 2a,05/09/2024 ET,"Phase 2a data from study showed that during this first-of-its-kind human patient case, the patient was able to cease treatment after just one week due to the rapid and successful resolution of symptom … read more",13.26M
Add to portfolio,,,,,,,,
BTAI,BioXcel Therapeutics Inc.,$0.59 ,BXCL501 - (SERENITY III),Agitation associated with bipolar I or II disorder or schizophrenia ,Phase 3,05/09/2024 ET,"Phase 3 at-home trial initiated, noted September 5, 2024.",14.56M
Add to portfolio,,,,,,,,
VOR,Vor Biopharma Inc.,$0.83 ,Trem-cel + Mylotarg (VBP101),Acute myeloid leukemia (AML) ,Phase 1/2,05/09/2024 ET,"Phase 1/2 data reported reliable engraftment, shielding from Mylotarg on-target toxicity, a broadened Mylotarg therapeutic window, and early evidence of patient benefit, noted September 5, 2024.",6.84M
Add to portfolio,,,,,,,,
TVTX,Travere Therapeutics Inc.,$9.93 ,FILSPARI (sparsentan),IgA nephropathy (IgAN) ,Approved,05/09/2024 ET,"Approved September 5, 2024.",89.14M
Add to portfolio,,,,,,,,
LGND,Ligand Pharmaceuticals Incorporated,$103.15 ,FILSPARI (sparsentan),IgA nephropathy (IgAN) ,Approved,05/09/2024 ET,"Approved September 5, 2024.",19.6M
Add to portfolio,,,,,,,,
RIGL,Rigel Pharmaceuticals Inc.,$13.41 ,REZLIDHIA (olutasidenib) in combination with decitabine and venetoclax,Acute myeloid leukemia ,Phase 1/2,05/09/2024 ET,"Phase 1b/2 triplet therapy initiated, noted September 5, 2024.",17.94M
Add to portfolio,,,,,,,,
VTYX,Ventyx Biosciences Inc.,$2.17 ,VTX3232,Parkinson's disease ,Phase 2a,06/09/2024 ET,"Phase 2a initiated, noted September 6, 2024.",71.31M
Add to portfolio,,,,,,,,
KALV,KalVista Pharmaceuticals Inc.,$12.34 ,Sebetralstat - (KONFIDENT-S),Hereditary angioedema (HAE) ,Phase 3,06/09/2024 ET,Data presentation from Bradykinin Symposium reported a median time to treatment was 9 minutes for all attacks and 8 minutes for laryngeal attacks; the median time to beginning of symptom relief was 1. … read more,50.52M
Add to portfolio,,,,,,,,
GSK,GSK plc American Depositary Shares (Each representing two),$43.17 ,Nucala (mepolizumab),Chronic obstructive pulmonary disease (COPD) ,Phase 3,06/09/2024 ET,"Phase 3 data reported that it met its primary endpoint with the addition of Nucala to inhaled maintenance therapy, noted September 6, 2024.",2.03B
Add to portfolio,,,,,,,,
AXGN,Axogen Inc.,$13.02 ,Avance Nerve Graf - (RECON),Severed peripheral nerves ,BLA Filing,06/09/2024 ET,"BLA submission completed, noted September 6, 2024.",46.01M
Add to portfolio,,,,,,,,
YMAB,Y-mAbs Therapeutics Inc.,$13.82 ,DANYELZA (Naxitamab) - (201),High-risk neuroblastoma (HR-NB) commonly ,Phase 2,06/09/2024 ET,"Phase 2 AACR data reported that the trial achieved a disease control rate of 63%, note September 6, 2024.",45.44M
Add to portfolio,,,,,,,,
ZVRA,Zevra Therapeutics Inc.,$7.32 ,Arimoclomol (EAP),Niemann-Pick disease type C (NPC) ,Phase 3,06/09/2024 ET,"Phase 3 new clinical efficacy and safety data demonstrated clinically meaningful reduction in disease progression, noted September 6, 2024.",56.14M
Add to portfolio,,,,,,,,
CYTK,Cytokinetics Incorporated,$55.83 ,CK-4021586 (CK-586) - (AMBER-HFpEF),Heart failure with preserved ejection fraction (HFpEF) ,Phase 1,08/09/2024 ET,"Phase 1 data presented at ACCP reported dose-linearity without a change in half-life over a wide range of exposures, with steady state appearing evident within seven days of dosing, noted September 8, … read more",119.66M
Add to portfolio,,,,,,,,
LBPH,Longboard Pharmaceuticals Inc.,$34.51 ,Bexicaserin (LP352) - (DEEp OCEAN),Adolescent and adult patients with developmental and epileptic encephalopathies (DEEs) ,Phase 1/2,08/09/2024 ET,"Phase 1b/2a OLE data presented at the ILAE reported an overall median seizure reduction of 57.7% in countable motor seizures over an approximate 9-month treatment period, noted September 8, 2024.",39.05M
Add to portfolio,,,BTD,,,,,
SVRA,Savara Inc.,$4.26 ,MOLBREEVI (Molgradex) - (IMPALA-2),Autoimmune pulmonary alveolar proteinosis (aPAP) ,Phase 3,08/09/2024 ET,Phase 3 results presented at ERS reported statistical significance in change from baseline in hemoglobin-adjusted percent predicted diffusing capacity of the lungs for carbon monoxide (DLCO%) through … read more,172.84M
Add to portfolio,,,View Clinical Trial Data,,,,,
SMMT,Summit Therapeutics Inc.,$19.14 ,Ivonescimab (SMT112) with chemotherapy - (HARMONi-2),"Epidermal growth factor receptor (EGFR)-mutated, locally advanced or metastatic non-squamous NSCLC ",Phase 3,08/09/2024 ET,"Additional Phase 3 data presented at WCLC reported a hazard ratio (HR) of 0.51, and a clinically meaningful benefit was demonstrated across clinical subgroups, noted September 8, 2024.",744.44M
Add to portfolio,,,,,,,,
AZN,AstraZeneca PLC,$80.89 ,DATROWAY (datopotamab deruxtecan-dlnk)- (TROPION-Lung01),Non-small cell lung cancer (NSCLC) ,Phase 3,08/09/2024 ET,"Phase 3 data reported a meaningfully greater magnitude of progression-free survival benefit in patients with this biomarker, noted September 8, 2024.",3.1B
Add to portfolio,,,BTD,,,,,
JNJ,Johnson & Johnson,$165.28 ,Amivantamab and Lazertinib - (MARIPOSA),GFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer ,Phase 3,08/09/2024 ET,"Phase 3 longer-term data from the MARIPOSA study confirm superior outcomes of chemotherapy-free RYBREVANT® plus LAZCLUZE™ regimen compared to osimertinib monotherapy as first-line therapy, noted Septe … read more",2.41B
Add to portfolio,,,,,,,,
NUVL,Nuvalent Inc.,$89.24 ,Zidesamtinib (NVL-520) - (ARROS-1),ROS1 Non-small cell lung cancer (NSCLC) ,Phase 1,09/09/2024 ET,"Phase 1 data demonstrated encouraging efficacy and durability in patients with pretreated ROS1-positive NSCLC, noted September 9, 2024. This data is to be presented at ESMO on September 14, 2024.",72.1M
Add to portfolio,,,BTD,,,,,
AGEN,Agenus Inc.,$5.13 ,Botensilimab plus balstilimab,Relapsed/refractory microsatellite stable colorectal cancer with no active liver metastases (r/r MSS CRC NLM) ,Phase 1,09/09/2024 ET,"Phase 1 data from ESMO reported that in EE pts (n=50), ORR was 23%, DCR 66%, and median DOR 8.3 mos with 64% responses ongoing at 6-mos and longest ongoing response at 20.8+ mos, noted September 9, 2 … read more",31.86M
Add to portfolio,,,FTD,,,,,
EVAX,Evaxion A/S,$16.25 ,EVX-01 + KEYTRUDA (pembrolizumab) / OPDIVO (nivolumab),Metastatic Melanoma ,Phase 2,09/09/2024 ET,"Phase 2 data from a one-year interim analysis of the ongoing phase 2 trial show that 11 out of 16 patients had objective clinical responses, equaling a 69% Overall Response Rate to be presented, noted … read more",6.32M
Add to portfolio,,,FTD,,,,,
MRK,Merck & Company Inc.,$113.74 ,EVX-01 + KEYTRUDA (pembrolizumab) / OPDIVO (nivolumab),Metastatic Melanoma ,Phase 2,09/09/2024 ET,"Phase 2 data from a one-year interim analysis of the ongoing phase 2 trial show that 11 out of 16 patients had objective clinical responses, equaling a 69% Overall Response Rate to be presented, noted … read more",2.5B
Add to portfolio,,,FTD,,,,,
MBRX,Moleculin Biotech Inc.,$2.36 ,WP1066,Glioblastoma (NU 21C06) ,Phase 2,09/09/2024 ET,"Phase 2 patient dosing initiated, noted September 9, 2024.",30.29M
Add to portfolio,,,ODD,,,,,
,,,RPDD,,,,,
PDSB,PDS Biotechnology Corporation,$3.01 ,PDS0101 + KEYTRUDA (pembrolizumab) - (VERSATILE-002),HPV16-positive first-line recurrent and/or metastatic head and neck squamous cell cancer with low PD-L1 expression (CPS 1-19) ,Phase 2,09/09/2024 ET,"Phase 2 full data presented at ESMO reported that the median OS was 30 months (95% CI 18.4, NE) and the 12-month OS rate was 80%, noted September 9, 2024.",46.63M
Add to portfolio,,,View Clinical Trial Data,,,,,
ACTU,Actuate Therapeutics Inc.,$8.27 ,Elraglusib (9-ING-41) - (Actuate-1902),Ewing Sarcoma (Pediatric) ,Phase 1,09/09/2024 ET,"Phase 1 update reported that two patients with recurrent /refractory EWS are experiencing ongoing complete responses (CR), two patients achieved stable disease (SD), and two patients withdrew from the … read more",20.75M
Add to portfolio,,,RPDD,,,,,
PRLD,Prelude Therapeutics Incorporated,$4.96 ,PRT3789 with KEYTRUDA (pembrolizumab) - (SMARCA2/BRM),"SMARCA4-deleted cancers, solid tumors ",Phase 1,09/09/2024 ET,"Phase 1 data presented at ESMO reported partial responses, tumor shrinkage and prolonged stable disease, noted September 9, 2024.",56.6M
Add to portfolio,,,,,,,,
MRK,Merck & Company Inc.,$113.74 ,PRT3789 with KEYTRUDA (pembrolizumab) - (SMARCA2/BRM),"SMARCA4-deleted cancers, solid tumors ",Phase 1,09/09/2024 ET,"Phase 1 data presented at ESMO reported partial responses, tumor shrinkage and prolonged stable disease, noted September 9, 2024.",2.5B
Add to portfolio,,,,,,,,
REGN,Regeneron Pharmaceuticals Inc.,"$1,144.77 ",Libtayo (cemiplimab) combined with Fianlimab,Melanoma ,Phase 1,09/09/2024 ET,"Phase 1 data from ESMO reported that the median PFS was 24 months (85% CI: 12 months to NE) and median OS was not reached, noted September 9, 2024.",105.1M
Add to portfolio,,,,,,,,
EVAX,Evaxion A/S,$16.25 ,EVX-B2,Gonorrhea vaccine ,Preclinical,09/09/2024 ET,"Preclinical data reported that the vaccine triggers a targeted immune response, noted September 9, 2024.",6.32M
Add to portfolio,,,,,,,,
IBRX,ImmunityBio Inc.,$3.55 ,Anktiva (N-803) + various Checkpoint Inhibitors (QUILT-3.055),"NSCLC, Various tumors ",Phase 2b,09/09/2024 ET,"Phase 2b study showed long-term overall survival of 57 percent (49/86) and 34 percent (29/86) at 12 and 18 months respectively, exceeding the current standard of care, noted September 9, 2024.",945.25M
Add to portfolio,,,View Clinical Trial Data,,,,,
CTMX,CytomX Therapeutics Inc.,$1.25 ,Conditionally Activated Interferon Alpha-2b (CX-801),Solid tumors ,Phase 1,09/09/2024 ET,"Phase 1 dosing initiated, noted September 9, 2024.",164.91M
Add to portfolio,,,,,,,,
REPL,Replimune Group Inc.,$10.53 ,RP1 (vusolimogene oderparepvec) and OPDIVO (nivolumab) - (IGNYTE-3),Non-melanoma (NMSC) / Non-small cell lung cancer (NSCLC) ,Phase 3,09/09/2024 ET,"Phase 3 pre BLA review successfully completed, noted September 9, 2024.",78.06M
Add to portfolio,,,BTD,,,,,
,,,View Clinical Trial Data,,,,,
TCBP,TC BioPharm (Holdings) plc,$2.89 ,TCB008,Monkeypox (Mpox) ,Preclinical,09/09/2024 ET,"Preclinical proof of concept study intended, noted September 9, 2024.",2.1M
Add to portfolio,,,,,,,,
AMGN,Amgen Inc.,$323.31 ,Tarlatamab (AMG 757) - (DeLLphi-303),Small cell lung cancer (SCLC) ,Phase 1b,09/09/2024 ET,"Phase 1b trial presented at the WCLC demonstrated sustained disease control, with a 9-month overall survival rate of up to 91.8%, noted September 9, 2024.",538.36M
Add to portfolio,,,,,,,,
AMGN,Amgen Inc.,$323.31 ,Tarlatamab (AMG 757) - (DeLLphi-301),Brain metastasis ,Phase 2,09/09/2024 ET,"Phase 2 presented at the WCLC showed a long-term follow-up confirmed sustained efficacy and safety in previously treated ES-SCLC patients, with a 40% objective response rate and a median overall survi … read more",538.36M
Add to portfolio,,,,,,,,
AVBP,ArriVent BioPharma Inc.,$27.73 ,Firmonertinib monotherapy - (FURTHER),Non-small cell lung cancer (NSCLC) harboring EGFR PACC mutations ,Phase 1b,09/09/2024 ET,"Phase 1b data presented at WCLC showed an 81.8% ORR by BICR and 63.6% confirmed ORR by BICR at the 240 mg dose; 46.2% confirmed ORR in CNS Metastases, noted September 9, 2024.",40.57M
Add to portfolio,,,,,,,,
SPRY,ARS Pharmaceuticals Inc.,$11.71 ,Neffy 1 mg (epinephrine nasal spray),Anaphylaxis ,sNDA Filing,09/09/2024 ET,"sNDA submission to the FDA, noted September 9, 2024.",98.83M
Add to portfolio,,,,,,,,
ITRM,Iterum Therapeutics plc,$1.08 ,ORLYNVAH (Oral Sulopenem),Uncomplicated urinary tract infections (uUTI) ,PDUFA,09/09/2024 ET,"FDA's AdCom reviewed the drug's benefits and risks and considerations for its appropriate use but did not vote on the matter, noted September 9, 2024.",44.66M
Add to portfolio,,,,,,,,
PLRX,Pliant Therapeutics Inc.,$12.88 ,Bexotegrast (PLN-74809) - (INTEGRIS-PSC),Primary sclerosing cholangitis (PSC) ,Phase 2a,09/09/2024 ET,"Phase 2a safety and tolerability data presented at the European Respiratory Society (ERS) reported that integrin beta-6, were reduced in participants receiving bexotegrast at the 320 mg dose versus p … read more",61.39M
Add to portfolio,,,FTD,,,,,
,,,View Clinical Trial Data,,,,,
PHGE,BiomX Inc.,$1.13 ,BX004,P. aeruginosa in patients with Cystic Fibrosis (CF) ,Phase 1/2,09/09/2024 ET,"Phase 1b/2a study data presented at the European Respiratory Society (ERS) Congress reported that treatment was well tolerated and no adverse events of special interest, noted September 9, 2024.",26.53M
Add to portfolio,,,FTD,,,,,
,,,ODD,,,,,
LLY,Eli Lilly and Company,$906.69 ,Insulin efsitora alfa (efsitora) - (QWINT-2 and QWINT-4),Type 2 diabetes ,Phase 3,09/09/2024 ET,"Phase 3 QWINT-2 data presented at EASD helped adults naïve to insulin therapy currently using and not using GLP-1 receptor agonists achieve an A1C below 7% , noted May 16, 2024.",946.46M
Add to portfolio,,,,,,,,
LLY,Eli Lilly and Company,$906.69 ,Insulin efsitora alfa (efsitora) - (QWINT-5),Type 2 diabetes ,Phase 3,09/09/2024 ET,"Phase 3 data presented at EASD efsitora met the primary endpoint of non-inferior A1C reduction at week 26, noted September 9, 2024.",946.46M
Add to portfolio,,,,,,,,
MRK,Merck & Company Inc.,$113.74 ,Ifinatamab deruxtecan (DS-7300) - (IDeate-Lung02 ),Extensive-stage small cell lung cancer (SCLC) ,Phase 2,09/09/2024 ET,Phase 2 IDeate-Lung01 data reported that a confirmed objective response rate (ORR) of 54.8% (95% CI: 38.7-70.2) and 26.1% (95% CI: 14.3-41.1) were observed in patients with ES-SCLC receiving ifinatama … read more,2.5B
Add to portfolio,,,,,,,,
CCCC,C4 Therapeutics Inc.,$5.73 ,CFT1946,Solid tumors ,Phase 1,09/09/2024 ET,"Phase 1 dose escalation data presented at ESMO reported that 1 pt had an unconfirmed partial response (uPR) and 7/14 (50%) efficacy evaluable pts had a best response of stable disease or better, noted … read more",71.17M
Add to portfolio,,,,,,,,
IPHA,Innate Pharma S.A.,$2.25 ,Monalizuma - (NeoCOAST-2),Early-stage non-small cell lung cancer (NSCLC) ,Phase 2,09/09/2024 ET,"Phase 2 data reported a pathological complete response rate of 26.7% and a major pathological response rate of 53.3%, noted September 9, 2024.",92.16M
Add to portfolio,,,,,,,,
TNXP,Tonix Pharmaceuticals Holding Corp.,$0.17 ,TNX-801 - (Kenya study),"Monkeypox, horse pox and smallpox infection ",Phase 1/2,09/09/2024 ET,"Phase 1/2 vaccination demonstrated efficacy in protecting animals from lethal challenge with clade I monkeypox and is in development as an mpox vaccine, new data show improved tolerability in immunoco … read more",8.77M
Add to portfolio,,,,,,,,
OABI,OmniAb Inc.,$4.11 ,Batoclimab,Graves' Disease ,Phase 2,09/09/2024 ET,"Phase 2 additional results reported a 76% response rate in patients uncontrolled on antithyroid drugs (ATDs) at week 12, noted September 9, 2024.",122.7M
Add to portfolio,,,,,,,,
IMVT,Immunovant Inc.,$31.44 ,Batoclimab,Graves' Disease ,Phase 2,09/09/2024 ET,"Phase 2 additional results reported a 76% response rate in patients uncontrolled on antithyroid drugs (ATDs) at week 12, noted September 9, 2024.",174.32M
Add to portfolio,,,,,,,,
CVAC,CureVac N.V.,$2.92 ,CVGBM,Glioblastoma ,Phase 1,09/09/2024 ET,"Phase 1 data presented at ESMO reported that 7 pts had 9 ≥ Gr 3 AEs assessed as potentially related to CVGBM, noted September 9, 2024.",224.34M
Add to portfolio,,,,,,,,
TERN,Terns Pharmaceuticals Inc.,$9.12 ,TERN-601 - (FALCON),Obesity ,Phase 1,09/09/2024 ET,"Phase 1 data reported a statistically significant mean weight loss up to 5.5% over 28 days, noted September 9, 2024.",87.51M
Add to portfolio,,,,,,,,
RLAY,Relay Therapeutics Inc.,$9.51 ,RLY-2608 + fulvestrant + ribociclib triplet combination - (ReDiscover),"PIK3CA (PI3Kα) mutant tumors, including HR+/HER2- breast cancer ",Phase 1,09/09/2024 ET,"Phase 1 data resulted on 9.2-month median PFS in heavily pre-treated patients, 33% ORR across all patients & 53% ORR in patients with kinase mutations at RP2D. Data support planned initiation of 2L pi … read more",172.41M
Add to portfolio,,,,,,,,
NVO,Novo Nordisk A/S,—,Efruxifermin - (SYMMETRY),Metabolic-associated steatohepatitis (MASH) ,Phase 3,09/09/2024 ET,"Phase 3 Outcomes study dosing initiated, noted September 9, 2024.",4.47B
Add to portfolio,,,View Clinical Trial Data,,,,,
AKRO,Akero Therapeutics Inc.,$26.30 ,Efruxifermin - (SYMMETRY),Metabolic-associated steatohepatitis (MASH) ,Phase 3,09/09/2024 ET,"Phase 3 Outcomes study dosing initiated, noted September 9, 2024.",79.99M
Add to portfolio,,,View Clinical Trial Data,,,,,
XNCR,Xencor Inc.,$19.89 ,XmAb819,Renal Cell Carcinoma (RCC) ,Phase 1,09/09/2024 ET,"Phase 1 update reported evidence of anti-tumor activity has been observed in recent dose-escalation cohorts, noted September 9, 2024.",71.32M
Add to portfolio,,,,,,,,
XNCR,Xencor Inc.,$19.89 ,XmAb808 + pembrolizumab,Solid tumors ,Phase 1,09/09/2024 ET,"Phase 1 trial update reported prostate specific antigen (PSA) declines have been observed during the four-week monotherapy safety run-in period, noted September 9, 2024.",71.32M
Add to portfolio,,,,,,,,
NUVL,Nuvalent Inc.,$89.24 ,Neladalkib (NVL-655) - (ALKove-1),ALK non-small cell lung cancer (NSCLC) ,Phase 1,09/09/2024 ET,"Additional Phase 1 data demonstrated encouraging efficacy and durability in heavily pretreated ALK-positive NSCLC patients, noted September 9, 2024. This data is expected to be presented at ESMO Septe … read more",72.1M
Add to portfolio,,,BTD,,,,,
REGN,Regeneron Pharmaceuticals Inc.,"$1,136.35 ",Ateganosine (THIO-101),Non-small cell lung cancer (NSCLC) ,Phase 2,10/09/2024 ET,"Phase 2 update reported that 16 patients surpassed 12-month survival follow-up, with a median survival follow-up in third line of 10.6 months, noted September 10, 2024.",105.1M
Add to portfolio,,,ODD,,,,,
,,,FTD,,,,,
MAIA,MAIA Biotechnology Inc.,$3.28 ,Ateganosine (THIO-101),Non-small cell lung cancer (NSCLC) ,Phase 2,10/09/2024 ET,"Phase 2 update reported that 16 patients surpassed 12-month survival follow-up, with a median survival follow-up in third line of 10.6 months, noted September 10, 2024.",32.99M
Add to portfolio,,,ODD,,,,,
,,,FTD,,,,,
BYSI,BeyondSpring Inc.,$2.09 ,Plinabulin (Trial 103) - (DUBLIN-3),Non small cell lung cancer ,Phase 3,10/09/2024 ET,"Phase 3 study presented data at the 2024 WCLC showing that its combination with docetaxel, significantly improved overall survival (OS), progression-free survival (PFS), and objective response rate (O … read more",40.33M
Add to portfolio,,,,,,,,
VRDN,Viridian Therapeutics Inc.,$18.75 ,VRDN-001 - (THRIVE),Active Thyroid Eye Disease (TED) ,Phase 3,10/09/2024 ET,"Phase 3 data presented at Webcast achieved all primary and secondary endpoints, noted September 10, 2024.",81.66M
Add to portfolio,,,,,,,,
ALT,Altimmune Inc.,$6.96 ,Pemvidutide - (IMPACT),Metabolic dysfunction-associated steatohepatitis (MASH) ,Phase 2,10/09/2024 ET,"Phase 2 data presented at the Annual Meeting of the European Association for the Study of Diabetes reported that the lean loss ratio, defined as the change in lean mass compared to the change in total … read more",88.26M
Add to portfolio,,,FTD,,,,,
CNTA,Centessa Pharmaceuticals plc,$14.58 ,ORX750 - (CRYSTAL-1),Narcolepsy and other sleep-wake disorders ,Phase 1,10/09/2024 ET,"Phase 1 study showed a favorable safety profile with no on-target adverse events commonly associated with other OX2R agonists, such as hepatotoxicity or visual disturbances. Based on these results, Ce … read more",134.07M
Add to portfolio,,,,,,,,
LXRX,Lexicon Pharmaceuticals Inc.,$1.67 ,Sotagliflozin - (SOTA-INS CGM),Basal Insulin-Treated Type 2 Diabetes ,Phase 3,10/09/2024 ET,"Phase 3 data reported that 200 mg and 400 mg once daily TIR (15.3 and 15.9 hours, respectively) approached the ADA target, with modest reductions in time-above-range (TAR) and mild increases in time-b … read more",363.4M
Add to portfolio,,,,,,,,
RNAZ,TransCode Therapeutics Inc.,$8.46 ,TTX-MC138,Metastatic solid tumors ,Preclinical,10/09/2024 ET,"Study published the journal Oncotarget showed that stem-like breast cancer cells increase expression of miR-10b, noted September 10, 2024.",833.68K
Add to portfolio,,,ODD,,,,,
TFFP,TFF Pharmaceuticals Inc - Ordinary Shares,$1.95 ,TFF-dry powder hemagglutinin (HA) antigen,Influenza Vaccine ,Preclinical,10/09/2024 ET,"Preclinical data for its TFF-dry powder hemagglutinin (HA) antigen vaccine candidates showing induced neutralizing antibody titers in ferrets against H1 and H3 influenza strains, noted September 10, 2 … read more",4.44M
Add to portfolio,,,,,,,,
BBIO,BridgeBio Pharma Inc.,$29.99 ,BBP-812 - (CANaspire),Canavan Disease ,Phase 1/2,10/09/2024 ET,"FDA Granted RMAT designation, noted September 10, 2024.",191.17M
Add to portfolio,,,RMAT,,,,,
BBIO,BridgeBio Pharma Inc.,$29.99 ,BBP-631 - (ADventure),Congenital adrenal hyperplasia (CAH) ,Phase 1/2,10/09/2024 ET,Phase 1/2 trial topline data showed increased endogenous cortisol production in all patients at higher dose levels—a first for CAH. The therapy was well-tolerated with no treatment-related serious adv … read more,191.17M
Add to portfolio,,,FTD,,,,,
IMAB,I-MAB,$1.09 ,Uliledlimab (TJ004309),Solid tumors ,Phase 1,10/09/2024 ET,"Phase 1 PK/PD data showed a positive correlation between uliledlimab concentration and overall response rate, supporting dose selection for future trials. A Phase 2 study combining uliledlimab with pe … read more",81.5M
Add to portfolio,,,,,,,,
NUVB,Nuvation Bio Inc. Class A,$2.94 ,Taletrectinib - (TRUST-I) (China),ROS1-positive non-small cell lung cancer (NSCLC) ,Phase 2,10/09/2024 ET,Phase 2 data from ESMO reported that tumors shrank in 89% of taletrectinib-treated patients with advanced ROS1-positive (ROS1+) non-small cell lung cancer (NSCLC) who were tyrosine kinase inhibitor (T … read more,342.27M
